(-1.32151e-06,7.70924e-07)
(2.37572e-06,4.09233e-06)
(8.50342e-06,1.55263e-06)
(3.0129e-05,-0.000164965)
(1.17413e-07,9.88495e-08)
(1.5172e-06,-1.8021e-06)
(3.37805e-08,5.63792e-05)
(0.000275783,9.05301e-07)
(-1.19432e-06,6.83722e-07)
(2.30845e-06,4.04869e-06)
(7.55005e-06,1.51522e-06)
(3.27394e-05,-0.000163102)
(1.00893e-07,8.94537e-08)
(1.54354e-06,-1.74092e-06)
(2.59761e-08,5.16861e-05)
(0.000273221,7.62509e-07)
(-1.09295e-06,6.15627e-07)
(2.25257e-06,4.01285e-06)
(6.80461e-06,1.47212e-06)
(3.49456e-05,-0.000161506)
(8.83322e-08,8.18696e-08)
(1.56526e-06,-1.6888e-06)
(1.97624e-08,4.72135e-05)
(0.000270719,6.37614e-07)
(-9.96582e-07,5.52112e-07)
(2.19745e-06,3.97795e-06)
(6.10825e-06,1.41956e-06)
(3.7162e-05,-0.000159887)
(7.69373e-08,7.46077e-08)
(1.58655e-06,-1.63609e-06)
(1.43533e-08,4.24688e-05)
(0.000267979,5.17097e-07)
(-8.94655e-07,4.86302e-07)
(2.1365e-06,3.93986e-06)
(5.38573e-06,1.35133e-06)
(3.96573e-05,-0.000158041)
(6.54759e-08,6.68727e-08)
(1.60988e-06,-1.57624e-06)
(1.05749e-08,3.83821e-05)
(0.000265535,4.23218e-07)
(-8.07092e-07,4.30955e-07)
(2.08154e-06,3.90592e-06)
(4.77718e-06,1.28186e-06)
(4.1949e-05,-0.000156323)
(5.61339e-08,6.01889e-08)
(1.63065e-06,-1.52079e-06)
(7.22823e-09,3.38339e-05)
(0.000262707,3.29645e-07)
(-7.09979e-07,3.70952e-07)
(2.01725e-06,3.86684e-06)
(4.11657e-06,1.19252e-06)
(4.46844e-05,-0.000154244)
(4.63503e-08,5.27473e-08)
(1.65463e-06,-1.45396e-06)
(5.1551e-09,3.02466e-05)
(0.000260378,2.63961e-07)
(-6.33587e-07,3.24844e-07)
(1.9636e-06,3.83465e-06)
(3.60815e-06,1.11264e-06)
(4.70115e-05,-0.000152448)
(3.91018e-08,4.68789e-08)
(1.67427e-06,-1.39651e-06)
(3.25166e-09,2.59596e-05)
(0.000257446,1.94908e-07)
(-5.42576e-07,2.71269e-07)
(1.89521e-06,3.79422e-06)
(3.01659e-06,1.0058e-06)
(5.0038e-05,-0.000150071)
(3.10091e-08,3.98788e-08)
(1.69872e-06,-1.32089e-06)
(2.2359e-09,2.2926e-05)
(0.000255256,1.52289e-07)
(-4.78366e-07,2.34437e-07)
(1.84327e-06,3.76394e-06)
(2.60927e-06,9.22264e-07)
(5.23817e-05,-0.000148196)
(2.56809e-08,3.49459e-08)
(1.71673e-06,-1.26159e-06)
(1.18869e-09,1.85886e-05)
(0.000251893,1.00392e-07)
(-3.86839e-07,1.8347e-07)
(1.76234e-06,3.71766e-06)
(2.0448e-06,7.90606e-07)
(5.61186e-05,-0.000145142)
(1.86731e-08,2.79348e-08)
(1.74373e-06,-1.1656e-06)
(7.18241e-10,1.57251e-05)
(0.000249477,7.19845e-08)
(-3.26614e-07,1.51029e-07)
(1.70307e-06,3.68438e-06)
(1.6849e-06,6.95185e-07)
(5.89181e-05,-0.000142797)
(1.44723e-08,2.33483e-08)
(1.76243e-06,-1.09243e-06)
(4.68604e-10,1.36455e-05)
(0.00024759,5.42863e-08)
(-2.82988e-07,1.2814e-07)
(1.65609e-06,3.65837e-06)
(1.43065e-06,6.21296e-07)
(6.11764e-05,-0.000140869)
(1.1652e-08,2.00464e-08)
(1.77651e-06,-1.0326e-06)
(2.76457e-10,1.14511e-05)
(0.000245438,3.82959e-08)
(-2.37061e-07,1.04661e-07)
(1.60179e-06,3.62882e-06)
(1.16956e-06,5.38798e-07)
(6.38288e-05,-0.000138552)
(8.90343e-09,1.65965e-08)
(1.79176e-06,-9.61214e-07)
(1.58242e-10,9.51291e-06)
(0.000243364,2.64735e-08)
(-1.96599e-07,8.45652e-08)
(1.5484e-06,3.60025e-06)
(9.45803e-07,4.61723e-07)
(6.64824e-05,-0.000136184)
(6.68701e-09,1.35864e-08)
(1.80562e-06,-8.88696e-07)
(6.76336e-11,7.17131e-06)
(0.00024053,1.50782e-08)
